R, 3.6, 6.6, 9.7, 12.7, 15.7, 18.8, 21.8, 24.8, 27.9, 30.9, 33.9, 36.9, 40.0, 43.0, 46.0, 49.1, 52.1, 55.1, 58.2, 61.2, 64.2, 67.2, 70.3, 73.3, 76.3, 79.4, 82.4, 85.4, 88.5, 91.5, 94.5, 97.5, 100.6, 103.6, 106.6, 109.7, 112.7, 115.7, 118.8, 121.8, 124.8, 127.9, 130.9, 133.9, 136.9, 140.0, 143.0, 146.0, 149.1, 152.1, 155.1, 158.2, 161.2, 164.2, 167.2, 170.3, 173.3, 176.3, 179.4, 182.4, 185.4, 188.5, 191.5, 194.5, 197.5, 200.6, 203.6, 206.6, 209.7, 212.7, 215.7, 218.8, 221.8, 224.8, 227.9, 230.9, 233.9, 236.9, 240.0, 243.0, 246.0, 249.1, 252.1, 255.1, 258.2, 261.2, 264.2, 267.2, 270.3, 273.3, 276.3, 279.4, 282.4, 285.4, 288.5, 291.5, 294.5, 297.5, 300.6, 303.6, 306.6, 309.7, 312.7, 315.7, 318.8, 321.8, 324.8, 327.9, 330.9, 333.9, 336.9, 340.0, 343.0, 346.0, 349.1, 352.1
mm, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV
580.5, 8.9, 8.9, 4.2, 7.2, 5.1, --, 5.8, 6.5, 7.2, 3.8, 4.6, 7.9, 5.9, 5.9, 8.5, 7.0, 6.4, 3.8, 8.5, 3.8, 8.9, 7.2, 3.2, --, 7.2, 4.2, 5.9, 5.9, 9.8, 9.8, 8.9, 7.0, --, 8.5, 8.9, --, --, --, 7.9, 11.8, 9.8, 9.1, 25.4, 41.2, 32.2, 28.0, 33.5, 37.1, 59.2, 38.5, 44.8, 67.7, 42.3, 44.4, 36.7, 41.5, 67.7, 81.1, 88.6, 74.0, 66.6, 93.3, 73.2, 75.7, 98.9, 42.6, 41.2, 82.2, 38.1, 46.1, 51.2, 56.4, 41.9, 30.8, 28.5, 50.7, --, 5.4, 5.4, 9.8, 7.9, 6.5, 7.2, 7.9, --, 7.9, 7.7, 9.5, 5.1, 7.7, 8.5, 9.1, 9.8, 20.6, 5.9, 8.9, --, 10.0, 6.5, 7.0, 5.8, --, 7.9, 10.0, --, 40.1, 7.9, 8.9, 5.4, 7.9, --, --, --, --, 7.9, 6.5
570.0, 8.9, 10.7, 5.9, 9.8, 12.7, 10.7, 6.4, 7.7, 6.5, 7.7, 7.0, 7.9, 10.2, 2.6, 11.8, 9.8, 10.5, 10.0, 8.5, 7.9, 9.8, 6.4, 8.5, 6.4, 9.3, 7.2, 5.1, 9.8, 5.8, 13.0, 5.9, 10.7, 13.0, 8.5, 8.5, 9.1, 8.9, 9.8, 8.9, 11.0, 13.0, 15.2, 29.3, 49.8, 32.9, 48.8, 48.8, 63.6, 102.6, 70.0, 61.6, 82.2, 79.2, 86.1, 93.9, 90.5, 93.3, 124.5, 115.2, 108.1, 111.1, 133.9, 109.3, 98.3, 93.3, 91.1, 86.1, 107.0, 95.6, 104.0, 73.7, 97.9, 80.5, 38.5, 67.7, 82.2, 5.8, 10.7, 10.5, 630.3, 9.1, 10.7, 7.7, 623.1, 11.8, 672.6, 22.9, 7.2, 9.8, 10.7, 9.3, 8.9, 7.0, 10.7, 4.2, 9.8, 9.1, 10.0, 9.1, 9.8, 7.7, 6.5, 7.2, 515.2, 17.5, 546.7, 801.1, 9.3, 9.8, 7.7, 797.4, 13.9, 10.0, 7.0, 872.0, 13.0
549.5, 5.9, 4.6, 5.8, 5.4, 5.1, 5.8, 5.1, 4.6, 5.4, 5.1, 5.1, 5.9, 5.1, 5.1, 5.1, 5.4, 5.8, 5.4, 5.1, 5.1, 5.1, 4.6, 5.9, 5.8, 5.4, 5.4, 5.8, 5.9, 5.1, 5.9, 5.4, 5.8, 4.6, 4.6, 5.1, 5.1, 5.1, 5.4, 6.4, 9.8, 7.9, 19.3, 26.2, 37.1, 42.3, 46.1, 65.9, 87.7, 105.6, 79.7, 98.3, 116.9, 99.3, 97.7, 108.6, 100.4, 106.7, 142.4, 118.5, 109.3, 140.0, 127.8, 38.1, 67.0, 117.4, 105.2, 28.8, 37.7, 89.2, 34.5, 31.6, 97.3, 28.5, 31.3, 28.5, 34.8, 5.1, 8.5, 6.5, 7.2, 7.7, 5.9, 7.7, 5.4, 5.4, 5.8, 7.7, 10.7, 5.1, 5.1, 6.4, 7.0, 7.7, 5.8, 5.8, 6.4, 7.2, 6.5, 6.4, 7.7, --, 5.8, 5.4, 6.5, 6.4, 6.4, 8.5, 5.8, 6.5, 7.2, --, --, 6.4, 6.5, 7.0, 7.2
525.0, 4.2, 7.7, 11.0, 6.4, 8.9, 4.6, 7.2, --, 7.2, 5.9, 5.1, 6.5, 5.4, --, 11.8, 9.1, 4.6, --, 2.4, --, 5.8, 6.4, 5.1, 4.6, 5.4, 9.1, 11.5, 7.2, --, 7.7, 4.6, 3.2, --, --, 5.1, 10.0, 7.7, 16.7, 8.9, 24.2, 27.7, 81.9, 113.2, 135.3, 146.4, 182.8, 211.8, 237.9, 267.8, 245.8, 275.5, 357.4, 327.1, 356.8, 378.9, 364.7, 412.2, 374.0, 334.8, 355.3, 316.3, 355.9, 302.2, 332.9, 344.4, 309.1, 342.7, 345.3, 331.5, 359.8, 333.7, 328.8, 273.7, 271.7, 324.1, 351.0, 6.5, 10.7, 8.5, 6.4, 7.9, 17.0, 7.0, 10.5, --, 5.1, 9.1, 10.0, 12.7, --, 8.5, --, 38.5, --, 7.0, 13.4, --, --, --, --, --, --, 9.8, 7.2, --, 10.0, --, 4.6, 9.1, --, --, --, --, 7.2, --, 11.8
501.0, 7.7, 7.0, --, --, 8.5, 5.1, --, 4.6, 2.9, 10.5, --, --, 6.5, 8.5, --, 4.2, 5.1, 3.2, 7.2, 7.7, 4.6, --, --, 7.0, --, 7.9, --, 7.7, 4.6, 3.2, --, 5.1, 8.5, --, --, --, 11.5, --, 8.9, 29.9, 52.4, 131.4, 171.0, 212.3, 221.2, 254.8, 285.8, 315.1, 343.6, 371.0, 433.4, 423.5, 419.2, 509.7, 556.6, 580.7, 570.5, 553.6, 506.8, 543.0, 483.6, 543.0, 562.9, 462.7, 535.0, 498.1, 524.4, 537.7, 494.8, 550.0, 576.3, 573.8, 511.2, 572.6, 657.8, 617.7, --, --, 9.8, 3.5, --, --, 7.7, 10.0, --, 5.8, 8.9, 7.9, 14.9, 11.8, 6.5, 7.2, --, --, --, --, 5.1, 11.8, 4.6, 7.7, 4.2, 9.1, 6.4, 7.9, --, --, --, 5.9, 7.7, 7.9, --, --, --, 5.9, --, 8.5
477.5, 18.3, 11.8, 31.3, 53.3, --, 8.5, --, --, --, --, 15.5, --, 4.6, --, --, 25.2, --, --, 19.8, 8.9, 13.0, 25.2, 12.4, --, --, 11.3, 11.0, 10.7, --, 25.9, 12.1, 5.9, 4.6, 4.2, --, 11.0, 6.5, 196.6, 9.8, 22.2, 129.5, 160.8, 236.4, 290.5, 318.4, 334.8, 402.6, 418.0, 483.6, 507.3, 559.9, 573.8, 641.6, 721.1, 730.5, 763.1, 730.8, 733.0, 657.8, 751.6, 718.4, 699.5, 741.8, 788.0, 739.5, 710.1, 788.3, 744.3, 709.4, 784.3, 891.0, 851.8, 783.6, 711.9, 749.4, 789.5, 13.8, 5.8, --, --, --, --, --, --, --, --, --, 15.9, 10.0, 25.4, --, 18.0, --, 17.0, --, --, --, --, 9.1, --, --, --, --, 20.6, --, 57.7, --, --, 4.6, --, --, --, --, 12.7, --, --
454.0, --, --, 1.8, 6.5, 7.9, 9.8, --, 7.2, 11.5, 23.5, 3.8, 10.7, 7.9, --, --, --, 10.5, 9.1, 7.2, 7.7, --, 7.2, 12.1, 17.0, --, --, 9.3, 19.8, --, 16.4, --, 5.9, --, 5.1, 7.0, 3.5, 4.2, --, 6.4, 18.0, 109.7, 187.3, 266.7, 312.8, 351.0, 388.6, 414.3, 460.4, 505.3, 565.9, 587.0, 641.3, 694.1, 732.6, 786.0, 791.2, 706.5, 744.3, 676.0, 726.5, 656.8, 735.9, 704.3, 774.7, 774.4, 790.0, 795.9, 772.7, 720.7, 769.5, 826.8, 731.9, 781.1, 776.7, 742.5, 711.2, --, --, 7.0, --, 7.7, --, --, --, --, --, --, --, --, 12.4, 10.7, --, --, --, --, --, --, 12.1, 12.4, --, --, 11.0, --, 6.4, --, --, --, --, --, --, 13.4, 11.8, 15.5, --, 9.5, --
432.0, --, 9.8, --, --, 5.1, --, 10.7, --, 9.8, 22.5, 5.1, --, 3.5, 6.5, --, --, --, --, --, --, 3.8, --, 13.0, --, --, 132.7, 13.0, 5.9, 6.5, 19.3, 3.5, 6.5, 7.9, 3.2, 7.7, --, --, 9.3, 7.9, 26.6, 75.7, 185.7, 259.2, 331.2, 351.0, 383.7, 438.5, 490.4, 561.5, 581.3, 638.0, 609.0, 730.1, 752.6, 794.4, 783.6, 700.2, 725.4, 673.3, 688.5, 642.3, 668.6, 640.9, 768.3, 726.5, 765.5, 852.2, 780.8, 882.1, 790.7, 729.0, 740.0, 822.4, 803.6, 779.9, 726.1, --, 18.0, 8.9, --, 5.9, 10.2, 8.5, 5.1, --, 15.5, 14.5, 6.4, 8.9, --, --, 9.3, 7.2, --, 7.7, --, --, --, 8.5, --, 6.4, 5.4, 28.8, 7.0, 7.7, 5.9, 9.8, 11.0, 5.8, 12.1, 32.9, --, --, --, --, --
