t, E,580.5, 570.0, 549.5, 525.0, 501.0, 477.5, 454.0, 432.0, 411.5, 391.0
ms, mV*ns, mm, mm, mm, mm, mm, mm, mm, mm, mm, mm
3.6, 11845.54, 8.9, 8.9, 5.9, 4.2, 7.7, 18.3, --, --, --, 11.8
6.6, 12600.10, 8.9, 10.7, 4.6, 7.7, 7.0, 11.8, --, 9.8, --, --
9.7, 11827.25, 4.2, 5.9, 5.8, 11.0, --, 31.3, 1.8, --, --, 5.8
12.7, 11790.77, 7.2, 9.8, 5.4, 6.4, --, 53.3, 6.5, --, --, 7.2
15.7, 11680.68, 5.1, 12.7, 5.1, 8.9, 8.5, --, 7.9, 5.1, 26.2, 4.2
18.8, 13211.99, --, 10.7, 5.8, 4.6, 5.1, 8.5, 9.8, --, 7.2, 7.9
21.8, 12780.56, 5.8, 6.4, 5.1, 7.2, --, --, --, 10.7, 19.8, --
24.8, 11700.80, 6.5, 7.7, 4.6, --, 4.6, --, 7.2, --, 14.1, --
27.9, 12311.44, 7.2, 6.5, 5.4, 7.2, 2.9, --, 11.5, 9.8, --, --
30.9, 12119.12, 3.8, 7.7, 5.1, 5.9, 10.5, --, 23.5, 22.5, --, --
33.9, 12998.84, 4.6, 7.0, 5.1, 5.1, --, 15.5, 3.8, 5.1, --, 7.0
36.9, 12671.82, 7.9, 7.9, 5.9, 6.5, --, --, 10.7, --, --, 5.9
40.0, 13085.41, 5.9, 10.2, 5.1, 5.4, 6.5, 4.6, 7.9, 3.5, 19.8, 7.7
43.0, 11575.14, 5.9, 2.6, 5.1, --, 8.5, --, --, 6.5, 169.6, --
46.0, 12022.03, 8.5, 11.8, 5.1, 11.8, --, --, --, --, 7.7, 10.0
49.1, 12836.15, 7.0, 9.8, 5.4, 9.1, 4.2, 25.2, --, --, 4.6, --
52.1, 12956.19, 6.4, 10.5, 5.8, 4.6, 5.1, --, 10.5, --, 5.9, --
55.1, 11990.17, 3.8, 10.0, 5.4, --, 3.2, --, 9.1, --, --, 4.6
58.2, 12821.82, 8.5, 8.5, 5.1, 2.4, 7.2, 19.8, 7.2, --, 12.1, 7.2
61.2, 12443.66, 3.8, 7.9, 5.1, --, 7.7, 8.9, 7.7, --, 19.8, 6.5
64.2, 13400.58, 8.9, 9.8, 5.1, 5.8, 4.6, 13.0, --, 3.8, 5.8, 4.6
67.2, 12743.79, 7.2, 6.4, 4.6, 6.4, --, 25.2, 7.2, --, --, 7.2
70.3, 12638.80, 3.2, 8.5, 5.9, 5.1, --, 12.4, 12.1, 13.0, 23.1, --
73.3, 12797.11, --, 6.4, 5.8, 4.6, 7.0, --, 17.0, --, --, --
76.3, 12884.27, 7.2, 9.3, 5.4, 5.4, --, --, --, --, 3.5, 8.5
79.4, 12969.37, 4.2, 7.2, 5.4, 9.1, 7.9, 11.3, --, 132.7, --, 3.2
82.4, 12217.58, 5.9, 5.1, 5.8, 11.5, --, 11.0, 9.3, 13.0, 9.8, 7.0
85.4, 11967.48, 5.9, 9.8, 5.9, 7.2, 7.7, 10.7, 19.8, 5.9, 14.5, --
88.5, 12766.42, 9.8, 5.8, 5.1, --, 4.6, --, --, 6.5, 22.9, 6.4
91.5, 13106.92, 9.8, 13.0, 5.9, 7.7, 3.2, 25.9, 16.4, 19.3, --, --
94.5, 12307.61, 8.9, 5.9, 5.4, 4.6, --, 12.1, --, 3.5, --, 7.9
97.5, 12577.41, 7.0, 10.7, 5.8, 3.2, 5.1, 5.9, 5.9, 6.5, --, --
100.6, 11960.81, --, 13.0, 4.6, --, 8.5, 4.6, --, 7.9, 11.8, --
103.6, 13248.28, 8.5, 8.5, 4.6, --, --, 4.2, 5.1, 3.2, 6.4, 6.4
106.6, 12170.24, 8.9, 8.5, 5.1, 5.1, --, --, 7.0, 7.7, --, --
