,shot#,time,Ip,Bt,a,R,tria,elon,Wmcc,Ti0,Zeff,n42,fname,Paux
0,44248.0,0.1733,292.419,0.79,22.8,37.5,0.26,2.0,6092.0,970.0,2.223877743626822,4.7,NBI_KTM/shot44248_t173.txt,754.008679958125
1,44249.0,0.1673,291.243,0.79,23.0,37.2,0.28,2.0,6401.0,857.0,2.1871150025512565,4.9,NBI_KTM/shot44249_t167.txt,754.0341152965161
2,44249.0,0.1703,291.243,0.79,22.6,37.4,0.26,2.0,6368.0,857.0,2.2052282974711677,4.8,NBI_KTM/shot44249_t170.txt,754.0341152965161
3,44250.0,0.16119999999999998,290.526,0.79,23.9,36.5,0.32,2.0,6370.0,918.0,2.1523950332301642,5.1,NBI_KTM/shot44250_t161.txt,1022.7584553860144
4,44250.0,0.16419999999999998,290.526,0.79,23.8,36.8,0.32,2.0,6213.0,941.0,2.11953066289934,5.3,NBI_KTM/shot44250_t164.txt,1022.7584553860144
5,44250.0,0.1673,290.526,0.79,23.3,37.2,0.3,2.0,6561.0,713.0,2.1871150025512565,4.9,NBI_KTM/shot44250_t167.txt,1022.7584553860144
6,44250.0,0.1703,290.526,0.79,22.9,37.5,0.27,2.0,6400.0,760.0,2.1695119664375118,5.0,NBI_KTM/shot44250_t170.txt,1022.7584553860144
7,44250.0,0.1733,290.526,0.79,22.5,37.6,0.24,2.0,6382.0,831.0,2.1695119664375118,5.0,NBI_KTM/shot44250_t173.txt,1022.7584553860144
8,44251.0,0.1673,294.818,0.79,22.8,37.3,0.26,2.0,6667.0,1002.0,2.1695119664375118,5.0,NBI_KTM/shot44251_t167.txt,752.7623484246192
9,44255.0,0.16119999999999998,292.021,0.79,21.6,38.1,0.27,1.9,6121.0,951.0,2.223877743626822,4.7,NBI_KTM/shot44255_t161.txt,750.9055687913892
10,44257.0,0.1824,293.373,0.79,20.7,38.7,0.24,1.9,6246.0,780.0,2.1871150025512565,4.9,NBI_KTM/shot44257_t182.txt,749.5320605702607
