time, edge, R-edge, T_e, err, n_e, err, R-edge, T_e, err, n_e, err, R-edge, T_e, err, n_e, err, R-edge, T_e, err, n_e, err
161.2, 533.1, 27.4, 13.0, 4.2, 232962156905876576.0, 38011015002901168.0, 16.9, 15.1, 2.2, 554822669190980160.0, 41496014084010368.0, -3.6, 54.8, 4.6, 2523119128744940032.0, 85673708603159488.0, -28.1, 99.3, 5.0, 3982722543559092224.0, 93525705454347728.0
164.2, 532.9, 27.6, 11.3, 1.9, 552058433429513600.0, 42771876380476408.0, 17.1, 10.7, 2.1, 478977181003401024.0, 40656600387381632.0, -3.4, 68.0, 4.4, 2851013614588748800.0, 87247514714954384.0, -27.9, 134.9, 6.0, 4780604043808211968.0, 107732850728610688.0
167.2, 535.2, 25.3, 9.5, 2.8, 379660136401125632.0, 40079467709870320.0, 14.8, 18.3, 1.9, 882741512646355456.0, 48829632023401712.0, -5.7, 65.9, 4.1, 3028227854304045568.0, 94745735758906288.0, -30.2, 140.5, 7.8, 4974230486855013376.0, 113114528189412272.0
170.3, 532.7, 27.8, 7.0, 3.3, 305624765308764544.0, 38579025333341656.0, 17.3, 13.4, 1.8, 643257488977611520.0, 43091786885444944.0, -3.2, 35.4, 2.6, 2417015161540483072.0, 86383807534893184.0, -27.7, 130.8, 6.4, 4736447617298775040.0, 102075642206807536.0
173.3, 530.6, 29.9, 20.6, 4.0, 358514831650763712.0, 37408351167770200.0, 19.4, 23.5, 2.3, 961468092989577216.0, 47386381018296560.0, -1.1, 73.7, 4.7, 3179801662106115072.0, 93140175594451312.0, -25.6, 162.2, 9.7, 4040271865143331840.0, 107185671911588416.0
176.3, 528.2, 32.3, 10.2, 1.8, 683391227306661504.0, 47133822526378720.0, 21.8, 17.0, 2.1, 711418885062265472.0, 46918795744071304.0, 1.3, 64.7, 4.1, 3769937404336882688.0, 102536885828362992.0, -23.2, 147.9, 6.7, 5086324846111341568.0, 109919605275668432.0
179.4, 528.3, 32.2, 11.0, 3.3, 295840826175378112.0, 37988872521459376.0, 21.7, 17.0, 2.0, 755943560423450112.0, 46346079166824352.0, 1.2, 40.8, 2.7, 2969026183127150080.0, 92416635854257504.0, -23.3, 140.0, 6.1, 5200067546155505664.0, 105665868478328144.0
182.4, 529.1, 31.4, 8.9, 3.0, 325894284476945984.0, 38409223168189392.0, 20.9, 13.0, 2.1, 578491619362293504.0, 43216615402014480.0, 0.4, 48.5, 4.0, 2705430461070740480.0, 87732500423291792.0, -24.1, 140.0, 6.6, 4917451006491095040.0, 107451655771277632.0
185.4, 529.6, 30.9, 13.0, 5.0, 201837970976809920.0, 36144603144550376.0, 20.4, 14.9, 1.6, 823725725162495104.0, 46332809052417512.0, -0.1, 33.5, 2.0, 3583177163712060416.0, 99321920889166608.0, -24.6, 142.4, 6.7, 5142187512630405120.0, 108596260278852640.0
188.5, 527.9, 32.6, 10.0, 3.4, 246732549655096192.0, 34131009882439292.0, 22.1, 13.4, 2.3, 459729565127630208.0, 40115166363256240.0, 1.6, 38.7, 2.7, 2771105693464171008.0, 88358654070869200.0, -22.9, 130.8, 6.5, 4979655614847462400.0, 112090918126023200.0
191.5, 527.1, 33.4, 9.3, 3.5, 325640183305219200.0, 38252070813850432.0, 22.9, 15.2, 1.7, 752000594028671616.0, 44430828974594536.0, 2.4, 40.3, 2.8, 3290581177589642752.0, 97010089354658224.0, -22.1, 145.4, 7.2, 4763452742557932544.0, 105260000479337808.0
194.5, 526.8, 33.7, 7.0, 2.4, 387294828087423744.0, 40335948145183552.0, 23.2, 20.6, 2.6, 702053051426817920.0, 43804573188693744.0, 2.7, 43.3, 3.6, 2269400230729035776.0, 82159338633404064.0, -21.8, 125.5, 6.7, 4598563809668166656.0, 104083202717004064.0
197.5, 527.6, 32.9, 5.8, 5.3, 272592961543241504.0, 38394069933843384.0, 22.4, 13.0, 3.0, 370390334572504960.0, 37562693254228696.0, 1.9, 50.7, 3.4, 3202335343175640064.0, 94467431431556336.0, -22.6, 118.5, 5.1, 5008048096555851776.0, 101117622399924032.0
200.6, 528.1, 32.4, 7.2, 3.4, 298072078232432128.0, 37835585047281600.0, 21.9, 13.0, 3.1, 361379579924748800.0, 36834073802268816.0, 1.4, 33.5, 2.4, 2687326998586836480.0, 86947112562314240.0, -23.1, 106.7, 5.5, 4359241389299588608.0, 97103340006822096.0
203.6, 525.6, 34.9, 11.3, 3.4, 311834687137109376.0, 38311023431513864.0, 24.4, 15.1, 2.3, 564444601120014080.0, 41623197924801856.0, 3.9, 48.8, 3.6, 2813938565161902080.0, 89535405487284688.0, -20.6, 116.1, 6.2, 4802912346449240064.0, 108474395426502640.0
206.6, 523.8, 36.7, --, --, --, --, 26.2, 15.9, 4.5, 243265537683192800.0, 34308939698748168.0, 5.7, 41.5, 3.0, 2694347976548015104.0, 87327264878267904.0, -18.8, 115.2, 5.6, 4548397200212750336.0, 99224731273922576.0
209.7, 522.0, 38.5, 4.6, 6.0, 194749561974733120.0, 40771604032905768.0, 28.0, 14.1, 5.8, 180595539902386304.0, 34597251714626872.0, 7.5, 31.6, 2.4, 2301848989342379264.0, 84842202648410816.0, -17.0, 132.7, 6.7, 4190173552032808448.0, 96226143128211456.0
212.7, 520.5, 40.0, 7.7, 2.8, 330467435405871104.0, 37962254558236712.0, 29.5, 10.7, 3.7, 236886866124518272.0, 36188168297234736.0, 9.0, 25.9, 1.8, 2196053778635584512.0, 85428383773900528.0, -15.5, 156.1, 8.4, 4161278505507180032.0, 99522952902527696.0
215.7, 516.7, 43.8, 5.1, 5.8, 243664369086883520.0, 38244823966903648.0, 33.3, 11.8, 3.7, 229462860557257088.0, 35963711382910048.0, 12.8, 28.0, 2.2, 1993138741197408256.0, 80784704134561088.0, -11.7, 114.1, 7.6, 3239553593413067776.0, 88997491908284176.0
